nivel,regiao,uf,uf_nome,co_ibge6,municipio,populacao_2025,registros,estabelecimentos_cnes,municipios_com_registro,leitos_existentes,leitos_sus,uti_total_exist,uti_total_sus,pct_leitos_sus,pct_uti_sus,leitos_existentes_por_10k_hab,leitos_sus_por_10k_hab,uti_existente_por_100k_hab,uti_sus_por_100k_hab,gap_estimado_leitos_sus_para_media_nacional,gap_estimado_uti_sus_para_media_nacional,sinais_de_oportunidade,score_heuristico_oportunidade
municipio,NORDESTE,RN,Rio Grande do Norte,240710,Macaíba,87056,1,1,1,57,57,10,10,100.0,100.0,6.547509648961588,6.547509648961588,11.486859033265944,11.486859033265944,87.20339040897828,3.0620077157623413,leitos_sus_por_10k_abaixo_de_50pct_media_nacional,3
municipio,NORDESTE,PB,Paraíba,250320,Cabedelo,70734,1,1,1,30,30,0,0,100.0,0.0,4.2412418356094665,4.2412418356094665,0.0,0.0,87.1669111513126,10.613031310498226,leitos_sus_por_10k_abaixo_de_50pct_media_nacional,3
municipio,SUDESTE,SP,São Paulo,353180,Monte Mor,67832,1,1,1,35,26,0,0,74.28571428571429,0.0,5.159806580964736,3.832999174430947,0.0,0.0,86.35991061181096,10.177611047780637,leitos_sus_por_10k_abaixo_de_50pct_media_nacional,3
municipio,NORDESTE,PE,Pernambuco,260170,Belo Jardim,84033,2,2,1,87,54,0,0,62.06896551724138,0.0,10.353075577451715,6.426046910142444,0.0,0.0,85.19596014332929,12.608432438644744,leitos_sus_por_10k_abaixo_de_50pct_media_nacional,3
municipio,NORDESTE,BA,Bahia,290720,Casa Nova,76131,1,1,1,41,41,0,0,100.0,0.0,5.3854540200443966,5.3854540200443966,0.0,0.0,85.1067395150929,11.422804969315187,leitos_sus_por_10k_abaixo_de_50pct_media_nacional,3
municipio,NORDESTE,CE,Ceará,230523,Horizonte,81161,1,1,1,50,50,0,0,100.0,0.0,6.160594374145218,6.160594374145218,0.0,0.0,84.43865292436003,12.177513419166829,leitos_sus_por_10k_abaixo_de_50pct_media_nacional,3
municipio,NORDESTE,RN,Rio Grande do Norte,240260,Ceará-Mirim,83543,1,1,1,54,54,0,0,100.0,0.0,6.4637372371114274,6.4637372371114274,0.0,0.0,84.38430257463327,12.53491213239677,leitos_sus_por_10k_abaixo_de_50pct_media_nacional,3
municipio,SUL,RS,Rio Grande do Sul,430930,Guaíba,95946,2,2,1,80,75,10,10,93.75,100.0,8.338023471536072,7.816897004565068,10.42252933942009,10.42252933942009,83.92917772674866,4.395876129118426,leitos_sus_por_10k_abaixo_de_50pct_media_nacional,3
municipio,NORDESTE,CE,Ceará,230625,Itaitinga,72512,1,1,1,40,40,0,0,100.0,0.0,5.5163283318623115,5.5163283318623115,0.0,0.0,80.11206861486669,10.87980499316944,leitos_sus_por_10k_abaixo_de_50pct_media_nacional,3
municipio,NORDESTE,PE,Pernambuco,260640,Gravatá,92429,2,2,1,79,74,10,10,93.67088607594937,100.0,8.547101018078742,8.006145257440846,10.8191152127579,10.8191152127579,79.10346411633266,3.868180379987565,leitos_sus_por_10k_abaixo_de_50pct_media_nacional,3
municipio,SUDESTE,MG,Minas Gerais,316870,Timóteo,84172,1,1,1,62,62,18,18,100.0,100.0,7.365869885472604,7.365869885472604,21.38478353846885,21.38478353846885,77.42620586179609,0.0,leitos_sus_por_10k_abaixo_de_50pct_media_nacional,3
municipio,NORDESTE,CE,Ceará,231350,Trairi,62004,1,1,1,26,26,0,0,100.0,0.0,4.19327785304174,4.19327785304174,0.0,0.0,76.70615487638175,9.303169527753724,leitos_sus_por_10k_abaixo_de_50pct_media_nacional,3
